"ENTREZ_ID","KEGG_ID"
587,"map00280, map00290, map00770, map01100"
593,"map00280, map01100"
594,"map00280, map01100"
595,"map04110, map04115, map04310, map04510, map04630, map05200, map05210, map05212, map05213, map05214, map05215, map05216, map05218, map05219, map05220, map05221, map05222, map05223, map05416"
596,"map04141, map04210, map04510, map04722, map05014, map05145, map05200, map05210, map05215, map05222"
598,"map04210, map04630, map05014, map05145, map05200, map05212, map05220, map05222"
608,"map04060, map04672"
613,"map05200, map05220"
622,"map00072, map00650, map01100"
623,"map04020, map04080, map04610, map04810"
624,"map04020, map04080, map04610, map04810, map05142"
627,"map04010, map04722, map05016"
629,"map04610, map05150"
635,"map00260, map00270, map01100"
637,"map04115, map04210, map04650, map05010, map05014, map05200, map05416"
641,"map03440"
643,"map04060, map04062"
644,"map00860"
645,"map00860"
650,"map04060, map04340, map04350, map05200, map05217"
652,"map04340, map04350, map05200, map05217"
653,"map04340, map04350"
654,"map04340, map04350"
655,"map04060, map04340, map04350"
656,"map04340, map04350"
657,"map04060, map04350"
658,"map04060, map04350"
659,"map04060, map04350"
661,"map00230, map00240, map01100, map03020, map04623"
662,"map04130"
669,"map00010, map01100"
672,"map04120"
673,"map04010, map04012, map04062, map04150, map04270, map04510, map04650, map04720, map04722, map04730, map04810, map04910, map04914, map05160, map05200, map05210, map05211, map05212, map05213, map05214, map05215, map05216, map05218, map05219, map05220, map05221, map05223"
675,"map03440, map05200, map05212"
680,"map04080"
683,"map00760, map01100, map04020, map04970, map04972"
685,"map04012"
686,"map00780, map01100, map04977"
694,"map03018"
695,"map04380, map04662, map04664, map05340"
699,"map04110, map04114, map04914"
701,"map04110"
706,"map04080"
710,"map04610"
712,"map04610, map05020, map05142, map05150, map05322"
713,"map04610, map05020, map05142, map05150, map05322"
714,"map04610, map05020, map05142, map05150, map05322"
715,"map04145, map04610, map05150, map05322"
716,"map04610, map05150, map05322"
717,"map04610, map05150, map05322"
718,"map04145, map04610, map05140, map05142, map05150, map05322"
719,"map04080, map04610, map05150"
720,"map04610, map05150, map05322"
721,"map04610, map05150, map05322"
722,"map04610"
725,"map04610"
727,"map04610, map05020, map05150, map05322"
728,"map04080, map04610, map05150"
729,"map04610, map05020, map05322"
730,"map04610, map05020, map05322"
731,"map04610, map05020, map05146, map05322"
732,"map04610, map05020, map05146, map05322"
733,"map04610, map05020, map05146, map05322"
735,"map04610, map05020, map05146, map05322"
759,"map00910"
760,"map00910, map04964, map04966, map04971, map04972, map04976"
761,"map00910"
762,"map00910, map04964"
763,"map00910"
765,"map00910"
766,"map00910"
767,"map00910"
768,"map00910"
771,"map00910"
773,"map04010, map04020, map04730, map04742, map04930"
774,"map04010, map04020, map04742, map04930"
775,"map04010, map04020, map04260, map04270, map04720, map04912, map04930, map05010, map05410, map05412, map05414"
776,"map04010, map04020, map04260, map04270, map04912, map04930, map04973, map05010, map05410, map05412, map05414"
777,"map04010, map04020, map04930"
778,"map04010, map04020, map04260, map04270, map04912, map05010, map05410, map05412, map05414"
779,"map04010, map04020, map04260, map04270, map04912, map05010, map05410, map05412, map05414"
781,"map04010, map04260, map05410, map05412, map05414"
782,"map04010, map04260, map05410, map05412, map05414"
783,"map04010, map04260, map05410, map05412, map05414"
784,"map04010, map04260, map05410, map05412, map05414"
785,"map04010, map04260, map05410, map05412, map05414"
786,"map04010, map04260, map05410, map05412, map05414"
790,"map00240, map00250, map01100"
799,"map04080, map04380"
800,"map04270"
801,"map04020, map04070, map04114, map04270, map04720, map04722, map04740, map04744, map04910, map04912, map04916, map04970, map04971, map05010, map05214"
805,"map04020, map04070, map04114, map04270, map04720, map04722, map04740, map04744, map04910, map04912, map04916, map04970, map04971, map05010, map05214"
808,"map04020, map04070, map04114, map04270, map04720, map04722, map04740, map04744, map04910, map04912, map04916, map04970, map04971, map05010, map05214"
810,"map04020, map04070, map04114, map04270, map04720, map04722, map04740, map04744, map04910, map04912, map04916, map04970, map04971, map05010, map05214"
811,"map04141, map04145, map04612, map05142"
814,"map04020, map04380, map04720, map04722"
815,"map04012, map04020, map04114, map04310, map04720, map04722, map04740, map04912, map04916, map04971, map05214"
816,"map04012, map04020, map04114, map04310, map04720, map04722, map04740, map04912, map04916, map04971, map05214"
817,"map04012, map04020, map04114, map04310, map04720, map04722, map04740, map04912, map04916, map04971, map05214"
818,"map04012, map04020, map04114, map04310, map04720, map04722, map04740, map04912, map04916, map04971, map05214"
820,"map04970"
821,"map04141, map04145, map04612"
823,"map04141, map04210, map05010"
824,"map04141, map04210, map04510, map05010"
833,"map00970"
834,"map04621, map04623, map05014"
836,"map04010, map04115, map04210, map04650, map05010, map05012, map05014, map05016, map05120, map05145, map05146, map05200, map05210, map05416"
838,"map04621"
839,"map04210"
840,"map04210, map05010"
841,"map04115, map04210, map04620, map04621, map04622, map05010, map05016, map05142, map05145, map05200, map05416"
842,"map04115, map04210, map04370, map05010, map05012, map05014, map05016, map05145, map05200, map05210, map05212, map05213, map05215, map05222, map05223, map05416"
843,"map04210, map04622"
847,"map00380, map01100, map04146, map05014"
857,"map04144, map04510, map05100, map05416"
858,"map04144, map04510, map05100"
859,"map04144, map04510, map05100"
861,"map05200, map05220, map05221"
862,"map05200, map05221"
867,"map04012, map04120, map04144, map04630, map04660, map04910, map05100, map05200, map05220"
868,"map04012, map04120, map04144, map04630, map04660, map04910, map05100, map05200, map05220"
873,"map00590, map01100"
874,"map00590, map01100"
875,"map00260, map00270, map01100"
883,"map00380, map00450, map01100"
886,"map04020, map04080, map04972"
887,"map04020, map04080, map04971"
890,"map04110, map04914"
891,"map04110, map04114, map04115, map04914"
894,"map04110, map04115, map04310, map04510, map04630"
896,"map04110, map04115, map04310, map04510, map04630"
898,"map04110, map04114, map04115, map05200, map05215, map05222"
900,"map04115"
901,"map04115"
902,"map03420, map04110"
909,"map04640"
910,"map04640"
911,"map04640"
912,"map04640, map05146"
913,"map04640"
914,"map04514, map04640"
915,"map04640, map04660, map05142, map05340"
916,"map04640, map04660, map05142, map05340"
917,"map04640, map04660, map05142"
919,"map04650, map04660, map05142"
920,"map04514, map04612, map04640, map04660, map05340"
921,"map04640"
923,"map04514"
924,"map04640"
925,"map04514, map04612, map04640, map04660, map05340"
926,"map04514, map04612, map04640, map04660, map05340"
928,"map04640"
929,"map04010, map04145, map04620, map04640, map04810, map05130, map05146"
930,"map04640, map04662, map05340"
931,"map04640"
933,"map04514, map04640, map04662"
939,"map04060"
940,"map04514, map04660, map04672, map04940, map05320, map05322, map05323, map05330, map05332, map05416"
941,"map04514, map04620, map04672, map04940, map05320, map05322, map05323, map05330, map05332, map05416"
